amount,transaction_time_hour,transaction_frequency_24h,merchant_category,location_risk_score,device_risk_score,distance_from_prev_km,prev_amount_ratio,account_age_days,failed_transactions_24h,is_international,is_online,is_fraud
175.89,16,2,entertainment,0.084,0.227,36.8,0.79,2647,0,0,0,0
51.8,7,1,grocery,0.194,0.158,1.4,0.9,3532,0,0,0,0
20.42,12,5,health_beauty,0.083,0.04,32.1,0.35,769,0,0,1,0
23.31,14,2,electronics,0.087,0.012,25.3,1.42,2702,0,0,1,0
26.79,6,4,gas_transport,0.32,0.033,11.6,1.33,2634,0,0,1,0
45.29,18,2,entertainment,0.185,0.336,3.2,1.19,1964,0,0,0,0
23.39,8,2,dining,0.257,0.261,0.7,0.89,679,2,0,1,0
15.11,10,1,clothing,0.076,0.329,3.6,0.49,677,0,0,1,0
8.58,13,5,clothing,0.11,0.063,5.1,1.44,722,0,0,0,0
112.38,11,2,entertainment,0.288,0.5,5.7,1.16,925,0,0,1,0
309.52,7,2,gas_transport,0.177,0.343,1.0,1.1,751,0,0,1,0
106.5,22,1,dining,0.202,0.08,11.1,0.83,3188,0,0,1,0
412.5,0,9,gas_transport,0.724,0.99,322.2,6.58,83,1,1,1,1
30.36,12,3,retail,0.121,0.389,5.3,0.5,542,0,0,1,0
37.73,12,3,electronics,0.144,0.096,14.0,1.1,2840,0,0,1,0
108.68,12,1,grocery,0.086,0.31,14.1,1.24,538,0,0,0,0
106.44,11,1,grocery,0.109,0.187,35.7,1.51,2152,0,0,0,0
96.6,16,5,dining,0.147,0.215,2.5,0.7,1584,0,0,1,0
171.6,18,1,grocery,0.196,0.08,36.3,1.09,2905,0,0,0,0
6.43,7,3,entertainment,0.207,0.117,0.9,0.75,952,0,1,1,0
51.44,15,3,grocery,0.329,0.169,1.0,0.78,1769,0,0,1,0
127.6,14,2,health_beauty,0.033,0.043,16.9,0.86,528,0,0,0,0
37.39,23,2,dining,0.054,0.5,6.1,1.43,2736,0,0,1,0
108.5,19,1,electronics,0.031,0.055,0.1,0.47,1642,1,0,0,0
65.21,8,3,grocery,0.081,0.39,19.5,0.81,2892,0,0,1,0
97.58,16,2,grocery,0.206,0.142,16.5,0.47,2348,0,0,0,0
3305.19,3,4,electronics,0.767,0.39,775.9,3.86,107,2,1,1,1
50.83,11,4,travel,0.013,0.114,3.9,1.34,262,0,0,1,0
76.23,0,2,dining,0.026,0.142,1.6,1.13,470,1,0,0,0
52.52,18,1,dining,0.061,0.284,2.3,0.57,1456,0,0,1,0
84.15,12,2,gas_transport,0.22,0.12,16.4,1.61,3106,0,0,0,0
111.26,18,1,gas_transport,0.111,0.095,3.9,0.85,393,0,0,1,0
24.05,18,3,clothing,0.066,0.085,18.1,0.72,3568,0,0,1,0
38.93,10,2,travel,0.123,0.244,2.0,0.97,2670,0,0,1,0
131.75,14,1,dining,0.02,0.018,9.9,1.12,2175,0,0,1,0
23.48,13,1,dining,0.264,0.056,12.6,0.78,520,0,0,1,0
24.86,5,1,clothing,0.032,0.133,7.4,1.04,903,0,0,1,0
34.45,18,5,grocery,0.091,0.203,1.0,0.38,1114,1,0,1,0
27.51,7,2,gas_transport,0.145,0.277,4.0,1.17,2427,0,0,0,0
12.58,20,1,grocery,0.145,0.079,2.6,0.77,1964,0,0,1,0
12.66,20,1,clothing,0.04,0.309,5.7,0.48,1606,0,0,0,0
43.85,11,2,utilities,0.057,0.229,4.9,1.14,2033,0,0,0,0
47.86,19,1,retail,0.094,0.1,5.8,0.59,620,0,0,1,0
54.99,1,1,retail,0.268,0.084,1.6,1.44,2268,0,0,1,0
42.02,9,2,utilities,0.229,0.291,3.4,0.71,717,0,0,0,0
55.22,9,2,gas_transport,0.043,0.142,2.7,0.79,3353,0,0,0,0
164.07,9,1,entertainment,0.145,0.436,18.4,1.08,1588,0,0,0,0
45.17,9,2,dining,0.327,0.123,13.5,0.8,486,0,0,1,0
227.04,21,7,travel,0.414,0.753,520.4,4.95,296,2,0,0,1
142.97,6,3,dining,0.215,0.17,6.8,1.32,368,1,0,1,0
54.14,10,1,clothing,0.108,0.025,14.1,0.93,1415,1,0,1,0
14.13,13,1,grocery,0.185,0.12,31.3,1.38,2200,0,0,1,0
77.45,9,1,entertainment,0.264,0.01,7.8,0.72,1227,0,0,1,0
66.32,11,5,dining,0.023,0.195,3.9,1.04,2800,0,0,1,0
38.9,12,5,gas_transport,0.091,0.118,35.6,0.61,482,0,0,0,0
93.07,9,1,grocery,0.261,0.243,10.3,0.36,1677,0,0,1,0
15.81,7,1,grocery,0.079,0.117,12.6,0.79,1449,0,0,0,0
15.32,16,1,clothing,0.132,0.229,5.1,0.64,1142,0,0,0,0
72.08,6,1,retail,0.039,0.077,12.8,0.71,1957,0,0,0,0
20.37,16,2,gas_transport,0.233,0.09,3.4,0.7,3049,0,0,1,0
54.58,12,2,retail,0.053,0.129,8.1,0.65,3022,0,0,1,0
63.65,15,1,electronics,0.329,0.197,12.2,0.8,270,0,0,1,0
53.79,13,1,travel,0.146,0.261,2.4,1.13,3299,0,0,0,0
171.13,18,7,electronics,0.747,0.71,178.8,7.23,1,3,1,1,1
20.6,15,1,entertainment,0.257,0.412,13.1,0.74,1855,0,0,0,0
28.67,19,1,utilities,0.148,0.23,40.7,1.26,2502,0,0,0,0
74.42,21,2,utilities,0.116,0.179,24.2,1.61,1618,0,0,1,0
29.53,22,3,grocery,0.083,0.287,7.0,1.3,1497,0,0,0,0
46.08,17,1,clothing,0.076,0.303,17.4,0.57,3525,0,0,1,0
28.85,17,1,retail,0.137,0.129,52.9,1.23,2243,1,0,1,0
17.41,13,2,gas_transport,0.01,0.192,2.8,0.95,619,0,0,0,0
142.7,9,1,gas_transport,0.127,0.03,10.6,1.28,1936,0,0,0,0
22.32,5,3,entertainment,0.086,0.124,26.3,1.22,2356,0,0,1,0
38.83,11,1,utilities,0.109,0.414,17.1,0.63,1695,0,0,1,0
19.28,17,2,health_beauty,0.345,0.113,4.8,0.72,2263,0,0,0,0
13.55,14,1,gas_transport,0.01,0.115,0.9,0.79,1972,0,0,0,0
47.7,12,1,electronics,0.253,0.283,4.7,0.8,676,0,0,1,0
29.9,17,1,health_beauty,0.058,0.198,3.3,1.25,1039,0,0,1,0
22.9,7,4,retail,0.283,0.045,7.5,1.21,2809,0,0,0,0
18.09,9,1,gas_transport,0.266,0.24,0.4,0.84,2415,0,0,1,0
50.83,11,3,grocery,0.03,0.069,54.7,0.47,3222,0,0,1,0
46.89,18,3,travel,0.014,0.492,2.2,1.04,1583,0,0,0,0
37.67,0,2,dining,0.386,0.264,29.3,0.54,1096,0,0,0,0
92.09,11,4,grocery,0.184,0.186,16.1,0.89,2906,0,0,0,0
78.56,17,3,utilities,0.144,0.324,0.1,1.12,868,0,1,1,0
1414.09,0,4,travel,0.92,0.501,32.5,4.07,168,1,0,1,1
105.67,9,1,gas_transport,0.128,0.08,0.6,1.31,2263,0,0,0,0
34.98,12,4,dining,0.128,0.107,7.5,1.42,3480,1,1,0,0
21.11,14,2,dining,0.227,0.214,40.4,1.02,1807,0,0,1,0
255.05,7,7,electronics,0.635,0.677,741.8,2.65,9,3,1,1,1
59.04,14,5,grocery,0.185,0.418,40.1,1.16,766,0,0,1,0
17.34,7,1,entertainment,0.073,0.259,8.5,0.66,2102,0,0,0,0
15.23,7,1,dining,0.45,0.154,2.2,0.98,379,0,0,1,0
36.8,1,1,dining,0.166,0.125,9.8,1.08,3592,1,0,0,0
203.86,15,5,dining,0.3,0.135,2.2,0.66,3059,0,0,1,0
56.56,11,2,grocery,0.283,0.025,7.2,0.75,1107,0,0,1,0
27.15,11,2,retail,0.265,0.051,10.5,1.49,1986,0,0,1,0
47.4,6,3,retail,0.037,0.107,59.8,0.95,764,0,0,1,0
46.43,20,2,utilities,0.035,0.068,13.0,0.84,1330,0,0,0,0
29.12,9,1,electronics,0.241,0.106,15.1,0.47,2427,0,0,1,0
44.02,5,2,dining,0.121,0.353,1.2,0.89,596,0,0,0,0
177.96,12,2,health_beauty,0.18,0.138,18.0,1.31,2190,0,0,0,0
11.43,15,1,utilities,0.189,0.147,17.6,0.49,1212,0,0,0,0
146.5,11,1,clothing,0.019,0.195,0.9,0.99,3075,0,0,0,0
29.4,13,1,health_beauty,0.111,0.232,16.0,0.94,757,0,0,1,0
75.11,13,2,grocery,0.166,0.053,3.9,0.98,1128,0,0,1,0
51.82,14,6,grocery,0.022,0.153,2.1,1.2,562,0,0,0,0
20.16,12,3,utilities,0.12,0.091,19.3,0.9,3170,0,0,0,0
89.11,21,2,gas_transport,0.186,0.077,7.1,0.94,2803,0,0,0,0
215.89,16,1,health_beauty,0.027,0.211,15.5,2.0,1700,0,0,0,0
53.6,6,6,grocery,0.038,0.259,30.9,0.91,2161,0,0,0,0
32.47,9,2,grocery,0.202,0.016,9.3,0.77,451,0,0,0,0
37.19,21,2,retail,0.137,0.012,18.6,1.1,3397,0,0,1,0
112.76,21,1,dining,0.2,0.037,14.1,0.81,992,0,0,0,0
18.91,16,5,gas_transport,0.095,0.201,0.2,0.66,875,0,0,1,0
37.02,18,1,dining,0.301,0.23,12.7,1.19,286,0,0,1,0
39.93,16,4,grocery,0.048,0.173,7.5,0.76,2892,1,0,0,0
42.9,5,2,electronics,0.142,0.226,6.3,0.87,3202,0,0,1,0
25.95,11,1,gas_transport,0.04,0.4,40.8,0.78,3446,0,0,0,0
33.47,18,2,gas_transport,0.045,0.282,6.5,1.11,1963,0,0,1,0
33.05,1,2,retail,0.076,0.132,63.3,0.93,1502,0,1,0,0
63.8,16,1,dining,0.123,0.274,21.6,1.02,3215,0,0,0,0
72.39,13,4,grocery,0.204,0.164,10.8,1.15,2243,0,0,1,0
33.16,12,1,gas_transport,0.067,0.192,31.8,1.05,3356,2,0,1,0
44.43,16,1,clothing,0.043,0.054,28.4,1.03,497,0,0,1,0
76.69,14,5,clothing,0.351,0.232,0.5,0.99,1721,0,0,1,0
22.85,16,2,grocery,0.182,0.288,18.9,1.47,2434,0,0,1,0
24.66,7,1,utilities,0.041,0.395,5.0,0.97,1385,0,0,0,0
131.99,16,2,health_beauty,0.119,0.208,16.2,1.06,1136,0,1,1,0
40.77,12,2,grocery,0.079,0.267,2.1,0.2,1588,0,0,0,0
11.74,10,1,entertainment,0.208,0.5,0.8,0.51,626,0,0,0,0
56.31,8,2,dining,0.061,0.183,5.0,1.11,534,0,0,1,0
133.13,7,6,grocery,0.133,0.152,1.2,1.13,2355,0,0,1,0
165.44,14,1,dining,0.069,0.208,1.8,1.24,405,0,0,1,0
59.32,16,2,grocery,0.083,0.386,4.0,1.11,2239,0,0,0,0
95.99,7,2,dining,0.086,0.34,7.9,0.78,1018,0,0,0,0
26.51,11,5,grocery,0.06,0.187,1.5,0.6,1092,0,0,1,0
28.47,6,4,dining,0.123,0.153,7.4,0.97,1027,1,0,1,0
48.73,10,3,grocery,0.45,0.018,6.0,1.34,1302,0,0,0,0
4309.13,6,11,entertainment,0.736,0.588,15.0,5.97,46,3,1,1,1
25.2,8,1,grocery,0.02,0.047,4.9,0.66,2672,0,0,0,0
11.83,14,3,entertainment,0.354,0.192,14.5,0.88,1708,0,0,0,0
143.26,17,1,dining,0.023,0.157,0.5,1.4,745,0,0,1,0
64.27,8,3,dining,0.377,0.172,15.4,1.56,302,0,0,1,0
56.38,14,2,clothing,0.044,0.122,11.6,0.73,289,0,0,1,0
29.22,16,1,electronics,0.279,0.337,14.7,1.24,2914,0,0,0,0
30.92,20,2,gas_transport,0.141,0.343,10.0,1.27,1752,0,0,1,0
42.94,17,1,grocery,0.05,0.1,15.6,0.63,3255,1,0,1,0
24.85,14,2,dining,0.049,0.285,3.0,0.48,2992,0,0,1,0
109.23,19,3,gas_transport,0.12,0.204,2.2,0.76,2874,0,0,1,0
539.73,20,5,retail,0.868,0.869,744.8,4.61,36,1,0,1,1
13.58,7,1,grocery,0.048,0.487,6.3,1.09,1094,0,0,0,0
26.99,9,1,dining,0.439,0.268,14.9,1.07,940,0,0,1,0
29.58,15,2,grocery,0.277,0.1,10.0,0.99,258,0,0,1,0
120.0,5,7,electronics,0.926,0.859,748.8,10.9,113,0,0,1,1
3826.55,3,9,travel,0.689,0.731,804.6,7.97,264,2,0,1,1
11.47,17,4,dining,0.054,0.223,36.2,1.01,2727,0,0,0,0
31.48,8,3,gas_transport,0.196,0.22,2.0,1.13,498,0,0,1,0
128.26,10,2,entertainment,0.041,0.15,7.4,1.26,2410,0,0,1,0
37.08,0,1,entertainment,0.035,0.076,6.9,0.92,3146,0,0,1,0
44.96,14,3,grocery,0.135,0.22,2.1,0.69,1962,0,0,1,0
37.09,10,1,electronics,0.015,0.205,32.0,0.53,3183,0,0,0,0
63.15,5,1,gas_transport,0.012,0.134,26.3,1.55,1966,0,0,1,0
87.9,10,2,electronics,0.088,0.302,22.2,1.06,3413,0,0,0,0
19.7,21,1,grocery,0.3,0.169,15.6,1.11,3115,0,0,1,0
117.88,14,1,retail,0.01,0.032,6.9,0.38,1692,0,1,0,0
32.67,6,1,retail,0.267,0.346,9.3,0.87,3357,0,0,0,0
154.46,22,1,gas_transport,0.144,0.248,1.6,1.43,1410,0,0,0,0
8.75,18,2,clothing,0.128,0.293,3.6,1.45,2404,0,0,1,0
145.2,13,2,electronics,0.018,0.128,37.9,1.48,1731,0,1,1,0
90.13,11,2,health_beauty,0.113,0.207,3.1,0.93,275,0,0,0,0
13.17,20,4,dining,0.208,0.278,48.3,0.87,1985,0,0,1,0
3745.38,14,9,health_beauty,0.725,0.505,413.9,4.63,8,2,0,1,1
6.86,17,2,grocery,0.017,0.073,8.1,1.17,261,0,0,1,0
43.35,9,4,grocery,0.01,0.389,4.0,0.96,731,0,0,1,0
476.19,0,7,electronics,0.653,0.433,1317.3,6.37,29,0,1,1,1
550.15,11,2,grocery,0.23,0.093,1.3,1.04,2815,0,0,0,0
9.76,7,1,electronics,0.116,0.341,27.3,1.53,449,0,0,0,0
63.06,16,1,retail,0.17,0.07,1.6,0.81,2634,1,0,0,0
62.34,18,3,gas_transport,0.084,0.092,4.4,1.3,2021,0,0,1,0
18.1,13,1,utilities,0.08,0.359,5.0,0.87,478,0,1,0,0
11.46,12,3,gas_transport,0.349,0.446,8.8,1.24,1673,0,0,0,0
46.61,8,1,dining,0.067,0.184,3.8,1.23,1170,0,0,0,0
3820.92,15,12,travel,0.664,0.35,2019.5,2.85,2,2,0,1,1
92.26,5,1,gas_transport,0.305,0.078,3.1,0.68,3505,0,0,0,0
54.64,18,1,utilities,0.115,0.074,2.4,0.8,1532,0,0,0,0
56.61,20,1,grocery,0.109,0.112,12.8,1.05,2525,0,0,0,0
10.57,9,1,gas_transport,0.45,0.098,11.9,0.82,1934,0,0,1,0
16.22,12,2,gas_transport,0.074,0.054,7.0,0.85,1528,0,0,0,0
114.08,14,1,gas_transport,0.143,0.071,34.9,1.02,566,0,0,0,0
13.19,14,1,electronics,0.082,0.196,24.7,0.93,2890,0,0,1,0
315.13,16,2,dining,0.102,0.247,9.0,1.39,978,0,0,0,0
33.86,12,1,grocery,0.292,0.371,6.6,1.23,861,0,0,1,0
53.48,10,1,electronics,0.237,0.118,12.2,1.07,516,0,0,1,0
16.59,18,1,gas_transport,0.162,0.465,4.4,0.57,1377,0,0,0,0
30.86,9,3,entertainment,0.13,0.25,35.1,1.16,2991,0,0,1,0
39.96,4,2,health_beauty,0.111,0.188,1.0,0.79,994,0,0,1,0
97.28,8,1,retail,0.154,0.075,13.8,1.19,620,0,0,0,0
20.38,10,5,travel,0.08,0.142,16.7,1.34,2630,0,0,0,0
47.09,18,3,grocery,0.251,0.147,0.1,1.03,1713,0,0,0,0
24.26,7,2,retail,0.13,0.496,10.6,1.3,2171,0,0,0,0
14.26,8,1,gas_transport,0.108,0.135,10.9,1.16,2366,0,0,0,0
59.52,15,2,utilities,0.104,0.01,11.7,1.2,3391,0,0,0,0
24.09,8,1,dining,0.04,0.107,13.7,0.74,3173,0,0,0,0
28.63,13,1,travel,0.01,0.208,6.1,0.66,2040,0,0,0,0
120.04,8,1,utilities,0.091,0.043,41.7,1.26,799,0,0,0,0
82.82,18,1,health_beauty,0.016,0.15,6.6,1.01,1305,0,0,1,0
81.1,12,2,dining,0.01,0.226,4.8,0.71,1745,0,0,0,0
170.5,15,1,entertainment,0.026,0.161,0.7,0.95,3575,0,0,0,0
12.36,9,2,clothing,0.188,0.028,12.1,1.32,3384,0,0,0,0
16.08,10,1,utilities,0.01,0.21,7.4,0.95,3533,0,0,1,0
136.96,18,1,grocery,0.311,0.346,19.0,1.22,2097,0,0,0,0
10.85,15,2,dining,0.415,0.077,12.2,0.82,3021,0,0,1,0
22.9,11,3,grocery,0.052,0.294,20.4,0.69,3105,0,0,0,0
42.02,7,3,dining,0.152,0.161,3.8,1.33,3075,0,0,0,0
61.25,10,2,dining,0.11,0.137,3.0,0.87,3324,1,0,0,0
69.79,11,1,gas_transport,0.168,0.042,30.7,0.82,1147,0,0,1,0
58.4,10,1,grocery,0.063,0.087,20.4,1.16,2270,0,0,1,0
58.62,8,4,grocery,0.105,0.078,6.7,1.55,1808,0,0,0,0
30.35,17,1,electronics,0.121,0.081,8.7,1.76,3056,0,0,0,0
78.78,11,3,health_beauty,0.021,0.095,15.6,0.67,974,0,0,1,0
41.02,7,3,retail,0.18,0.05,0.8,1.15,588,0,0,0,0
58.6,7,1,electronics,0.046,0.132,3.8,1.32,3082,0,0,0,0
24.19,15,3,health_beauty,0.256,0.324,13.5,0.59,775,0,0,0,0
146.39,15,1,entertainment,0.031,0.366,13.4,1.28,2598,2,0,1,0
48.49,13,3,grocery,0.048,0.198,5.8,1.59,1202,0,0,0,0
49.81,14,3,gas_transport,0.243,0.097,4.5,0.99,2902,0,0,0,0
14.83,1,1,gas_transport,0.048,0.089,11.5,1.37,1588,0,0,0,0
90.94,18,2,grocery,0.13,0.095,7.7,0.55,2468,0,0,1,0
115.58,8,2,clothing,0.127,0.032,4.7,1.23,1155,0,0,0,0
19.48,5,2,gas_transport,0.14,0.162,1.8,0.81,246,0,0,1,0
60.41,10,2,entertainment,0.343,0.433,9.0,1.37,1734,0,0,0,0
35.71,13,1,utilities,0.145,0.09,11.1,1.17,304,0,0,1,0
61.36,13,3,dining,0.128,0.258,4.9,1.27,943,0,0,0,0
44.92,13,2,clothing,0.082,0.177,12.0,1.39,830,0,0,1,0
25.07,9,1,dining,0.096,0.446,12.1,0.66,2644,0,0,1,0
29.78,13,1,health_beauty,0.136,0.274,3.9,0.7,2561,0,0,0,0
580.17,23,5,travel,0.784,0.455,1078.1,9.06,74,0,1,1,1
61.51,16,5,grocery,0.163,0.272,3.5,0.83,2438,0,0,0,0
43.74,22,4,utilities,0.033,0.036,7.1,0.78,1539,0,0,0,0
235.43,10,3,utilities,0.292,0.297,0.5,1.0,2696,0,0,0,0
45.96,16,1,grocery,0.372,0.336,0.9,1.04,3439,0,0,1,0
37.22,22,1,electronics,0.073,0.18,2.4,1.05,1410,0,0,1,0
94.02,16,1,grocery,0.411,0.162,7.8,1.3,3518,0,0,0,0
57.73,11,2,clothing,0.083,0.039,10.7,0.77,1528,0,0,1,0
34.66,13,2,grocery,0.137,0.223,23.6,1.32,1383,0,0,1,0
28.88,18,1,dining,0.09,0.106,2.7,0.93,460,0,0,0,0
13.84,8,1,clothing,0.08,0.023,3.4,1.42,2254,0,0,1,0
6.62,15,2,gas_transport,0.029,0.332,2.4,1.01,467,0,0,0,0
450.87,18,5,gas_transport,0.695,0.764,461.0,8.69,457,1,0,1,1
54.31,12,4,electronics,0.081,0.203,2.7,1.51,1487,0,0,1,0
18.18,11,1,grocery,0.107,0.074,14.1,1.14,3415,0,0,1,0
69.55,7,5,clothing,0.157,0.406,4.3,0.94,1609,0,0,1,0
167.05,7,3,grocery,0.069,0.224,4.1,1.45,2928,0,1,0,0
52.62,1,3,grocery,0.011,0.116,8.1,0.48,1739,0,0,0,0
10.95,17,3,clothing,0.329,0.062,11.9,1.21,2827,0,0,1,0
68.52,9,2,gas_transport,0.041,0.223,55.5,0.64,2958,0,0,1,0
63.17,16,1,gas_transport,0.024,0.298,1.4,0.77,437,0,0,1,0
56.77,9,1,dining,0.052,0.193,12.5,0.67,1885,0,0,1,0
51.07,10,1,utilities,0.049,0.16,4.2,0.98,1341,0,0,0,0
61.35,16,1,clothing,0.042,0.043,4.1,0.74,1059,0,0,1,0
57.18,13,1,grocery,0.089,0.141,15.2,1.12,1814,0,1,1,0
48.34,8,1,entertainment,0.01,0.326,5.0,1.18,1436,0,0,1,0
24.33,14,1,gas_transport,0.07,0.208,16.4,0.95,3448,0,0,0,0
61.44,22,2,dining,0.051,0.466,31.4,0.82,2789,0,0,1,0
114.29,15,3,clothing,0.097,0.056,14.8,1.32,1186,1,0,0,0
20.27,17,1,clothing,0.241,0.3,1.5,0.94,652,0,0,0,0
14.32,10,2,health_beauty,0.011,0.187,25.4,0.99,296,0,0,1,0
53.99,11,1,health_beauty,0.08,0.267,14.8,1.11,1273,0,1,1,0
51.06,6,3,electronics,0.129,0.119,56.8,0.61,2159,0,0,1,0
35.84,15,2,electronics,0.147,0.317,16.3,0.69,649,0,0,0,0
40.33,9,4,travel,0.137,0.5,21.7,1.17,1520,0,0,1,0
40.94,15,2,grocery,0.074,0.039,8.5,0.86,3519,0,0,1,0
51.44,10,1,dining,0.25,0.235,26.0,1.5,1862,0,0,0,0
69.72,11,2,clothing,0.011,0.357,6.8,0.7,1636,0,0,1,0
51.75,8,3,dining,0.02,0.028,16.8,1.16,3295,0,0,1,0
39.07,18,2,travel,0.167,0.093,54.1,1.03,1955,0,0,0,0
1765.44,4,3,clothing,0.726,0.837,350.1,6.09,11,2,1,1,1
15.89,16,3,grocery,0.094,0.119,11.1,0.87,220,0,0,0,0
32.76,14,3,grocery,0.203,0.347,19.8,0.88,2690,0,0,1,0
126.78,5,6,travel,0.939,0.787,352.3,4.46,70,3,0,1,1
21.08,12,4,dining,0.379,0.456,1.5,1.22,226,0,0,0,0
58.06,9,1,dining,0.041,0.091,0.9,1.11,1718,0,0,1,0
32.91,15,2,clothing,0.104,0.131,0.1,1.51,1066,0,0,1,0
79.93,7,2,dining,0.193,0.094,12.4,1.1,3008,0,0,0,0
33.54,18,1,health_beauty,0.259,0.033,8.8,1.19,3206,0,0,0,0
100.35,1,2,gas_transport,0.088,0.136,3.9,0.59,2375,0,0,0,0
73.97,14,3,grocery,0.062,0.118,0.1,0.91,1298,0,0,0,0
113.3,19,2,grocery,0.232,0.288,2.9,1.24,2181,0,0,1,0
48.13,16,1,grocery,0.01,0.096,21.2,1.13,1938,0,0,0,0
5.0,12,3,retail,0.041,0.284,15.7,1.56,950,0,0,1,0
13.26,11,3,entertainment,0.097,0.116,2.8,0.76,3426,0,0,0,0
30.55,9,4,grocery,0.066,0.177,1.7,0.2,2010,0,0,1,0
13.65,15,3,gas_transport,0.029,0.142,18.5,0.33,1574,0,0,1,0
22.5,10,3,grocery,0.03,0.01,7.0,0.95,2778,0,0,1,0
97.58,13,2,gas_transport,0.152,0.202,12.7,0.8,270,0,0,0,0
193.37,11,2,retail,0.16,0.257,24.8,0.79,1774,0,0,1,0
11.43,10,1,dining,0.196,0.183,3.3,0.92,872,0,0,1,0
48.63,15,4,grocery,0.025,0.145,5.6,1.23,3311,0,0,1,0
86.37,8,2,gas_transport,0.059,0.284,4.0,0.46,1760,0,0,1,0
18.97,11,1,electronics,0.204,0.112,10.9,0.82,1352,0,0,0,0
81.58,12,1,utilities,0.248,0.399,14.8,1.33,1047,0,0,0,0
78.6,15,2,gas_transport,0.115,0.025,10.0,1.07,871,0,0,1,0
45.12,15,1,grocery,0.047,0.283,4.8,0.85,1510,0,0,1,0
491.62,9,9,electronics,0.861,0.745,1529.8,1.8,486,2,1,1,1
59.99,12,1,dining,0.166,0.036,34.8,0.95,2746,1,0,0,0
73.13,16,4,gas_transport,0.01,0.296,12.9,1.25,2206,0,0,1,0
15.29,9,2,gas_transport,0.152,0.076,43.8,1.11,1048,0,0,1,0
108.82,11,4,dining,0.223,0.203,10.5,0.88,680,0,0,1,0
33.48,0,1,grocery,0.073,0.352,36.8,0.8,2411,0,0,0,0
73.98,22,1,gas_transport,0.01,0.186,16.0,0.75,585,0,0,1,0
28.62,9,1,electronics,0.104,0.067,56.5,0.5,1175,0,0,1,0
40.62,14,2,dining,0.45,0.285,36.4,1.16,882,0,0,1,0
20.64,15,1,dining,0.209,0.159,8.1,1.05,3161,0,0,1,0
27.41,12,1,grocery,0.087,0.067,19.2,1.49,1380,0,0,1,0
30.22,17,1,electronics,0.273,0.046,25.0,1.16,2207,0,0,0,0
22.15,10,1,gas_transport,0.339,0.138,0.9,0.64,1536,0,1,1,0
89.82,17,3,grocery,0.271,0.267,18.5,0.81,3329,0,0,0,0
133.87,15,2,grocery,0.221,0.022,12.9,1.14,3236,0,0,1,0
22.32,15,3,gas_transport,0.23,0.13,16.8,1.56,2211,0,0,0,0
12.87,9,1,health_beauty,0.076,0.196,23.2,0.94,2337,0,0,0,0
2405.93,19,7,electronics,0.828,0.932,229.1,1.8,434,3,1,1,1
33.09,9,1,grocery,0.012,0.234,1.4,0.96,3223,0,0,0,0
77.85,12,2,grocery,0.039,0.021,3.2,1.38,1868,0,0,1,0
25.25,13,1,travel,0.139,0.053,9.5,0.84,322,0,0,1,0
49.28,19,1,grocery,0.142,0.325,15.0,1.03,1828,0,0,0,0
41.48,12,2,travel,0.049,0.296,34.2,0.86,1033,0,0,0,0
91.2,5,1,clothing,0.236,0.469,7.7,0.71,503,0,0,0,0
47.85,20,2,grocery,0.182,0.02,10.9,0.55,1298,0,0,1,0
57.23,4,1,dining,0.196,0.1,13.4,1.28,2553,0,0,1,0
65.05,16,4,grocery,0.255,0.379,12.9,1.47,2050,0,0,1,0
11.13,10,4,grocery,0.115,0.062,12.7,1.3,3048,0,0,1,0
108.11,17,1,dining,0.163,0.173,7.3,0.91,334,0,0,0,0
45.7,16,2,travel,0.106,0.079,1.8,1.55,1260,0,0,0,0
9.86,11,3,travel,0.086,0.133,15.1,1.44,3189,0,0,0,0
70.42,1,1,utilities,0.01,0.074,0.6,1.09,2299,0,0,0,0
1141.39,15,2,retail,0.837,0.765,959.4,1.92,428,2,1,1,1
100.05,13,2,health_beauty,0.039,0.01,22.5,0.73,3419,0,0,0,0
35.23,14,4,entertainment,0.377,0.359,20.5,1.09,446,0,0,0,0
14.76,14,1,grocery,0.224,0.102,20.2,1.2,2757,0,0,1,0
145.01,10,1,travel,0.128,0.023,23.2,1.56,2867,0,0,1,0
39.42,14,3,gas_transport,0.046,0.226,16.6,0.94,302,0,0,0,0
121.79,17,3,dining,0.054,0.26,16.3,0.84,457,0,0,0,0
58.1,5,2,travel,0.046,0.104,26.5,1.08,3369,2,0,0,0
34.2,9,4,grocery,0.099,0.37,27.0,1.35,2831,0,0,1,0
11.72,17,4,electronics,0.041,0.195,16.5,1.09,2527,0,0,0,0
32.05,12,1,dining,0.319,0.115,3.3,0.56,809,0,0,0,0
57.16,12,2,travel,0.137,0.046,18.7,0.74,320,0,0,1,0
77.21,8,2,utilities,0.167,0.418,4.9,1.14,2348,0,0,1,0
34.59,18,3,entertainment,0.117,0.471,17.0,1.1,2862,0,0,0,0
57.17,13,1,utilities,0.138,0.15,11.4,0.86,994,0,0,0,0
64.14,13,2,dining,0.361,0.141,11.1,0.83,505,0,0,1,0
54.86,7,3,retail,0.034,0.29,4.1,1.29,244,0,0,1,0
13.57,11,3,grocery,0.061,0.084,4.6,1.03,3478,0,0,1,0
48.49,20,5,travel,0.252,0.369,5.1,0.57,537,0,0,1,0
114.84,14,1,entertainment,0.075,0.291,2.3,0.9,840,0,0,1,0
19.22,16,2,utilities,0.063,0.157,8.8,1.49,3576,0,0,0,0
